sigla_uf,pib_2019
SP,2.348.338.000
RJ,779.928.000
MG,651.873.000
RS,482.464.000
PR,466.377.000
SC,323.264.000
BA,293.241.000
DF,273.614.000
GO,208.672.000
PE,197.853.000
PA,178.377.000
CE,163.575.000
MT,142.122.000
ES,137.346.000
AM,108.181.000
MS,106.943.000
MA,97.340.000
RN,71.337.000
PB,67.986.000
AL,58.964.000
PI,52.781.000
RO,47.091.000
SE,44.689.000
TO,39.356.000
AP,17.497.000
AC,15.630.000
RR,14.292.000
SP,2.348.338.000
RJ,779.928.000
MG,651.873.000
RS,482.464.000
PR,466.377.000
SC,323.264.000
BA,293.241.000
DF,273.614.000
GO,208.672.000
PE,197.853.000
PA,178.377.000
CE,163.575.000
MT,142.122.000
ES,137.346.000
AM,108.181.000
MS,106.943.000
MA,97.340.000
RN,71.337.000
PB,67.986.000
AL,58.964.000
PI,52.781.000
RO,47.091.000
SE,44.689.000
TO,39.356.000
AP,17.497.000
AC,15.630.000
RR,14.292.000
